,Calories,Total Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Sugar Alcohol,Protein,Vitamin A,Vitamin C,Calcium,Iron,class
162,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
163,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
164,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
165,123.0,0,0.0,0.0,0.0,0.0,0,0.0,7.9,0.0,0.0,0,0.11,0,0,0,0,0
166,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
167,123.0,0,0.0,0.0,0.0,0.0,0,0.0,7.9,0.0,0.0,0,0.11,0,0,0,0,0
168,123.0,0,0.0,0.0,0.0,0.0,0,0.0,7.9,0.0,0.0,0,0.11,0,0,0,0,0
169,123.0,0,0.0,0.0,0.0,0.0,0,0.0,7.9,0.0,0.0,0,0.11,0,0,0,0,0
170,123.0,0,0.0,0.0,0.0,0.0,0,0.0,7.9,0.0,0.0,0,0.11,0,0,0,0,0
171,123.0,0,0.0,0.0,0.0,0.0,0,0.0,7.9,0.0,0.0,0,0.11,0,0,0,0,0
172,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
173,123.0,0,0.0,0.0,0.0,0.0,0,0.0,7.9,0.0,0.0,0,0.11,0,0,0,0,0
174,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
175,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
176,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
177,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
178,119.0,0,0.0,0.0,0.0,0.0,0,0.0,3.82,0.0,0.0,0,0.1,0,0,0,0,0
179,125.0,0,0.0,0.0,0.0,0.0,0,0.0,3.9,0.0,0.0,0,0.1,0,0,0,0,0
180,125.0,0,0.0,0.0,0.0,0.0,0,0.0,3.9,0.0,0.0,0,0.1,0,0,0,0,0
181,125.0,0,0.0,0.0,0.0,0.0,0,0.0,3.9,0.0,0.0,0,0.1,0,0,0,0,0
182,125.0,0,0.0,0.0,0.0,0.0,0,0.0,3.9,0.0,0.0,0,0.1,0,0,0,0,0
183,125.0,0,0.0,0.0,0.0,0.0,0,0.0,3.9,0.0,0.0,0,0.1,0,0,0,0,0
184,125.0,0,0.0,0.0,0.0,0.0,0,0.0,3.9,0.0,0.0,0,0.1,0,0,0,0,0
185,125.0,0,0.0,0.0,0.0,0.0,0,0.0,3.9,0.0,0.0,0,0.1,0,0,0,0,0
186,125.0,0,0.0,0.0,0.0,0.0,0,0.0,3.9,0.0,0.0,0,0.1,0,0,0,0,0
187,125.0,0,0.0,0.0,0.0,0.0,0,0.0,3.9,0.0,0.0,0,0.1,0,0,0,0,0
188,125.0,0,0.0,0.0,0.0,0.0,0,0.0,3.9,0.0,0.0,0,0.1,0,0,0,0,0
189,119.0,0,0.0,0.0,0.0,0.0,0,0.0,2.9,0.0,0.0,0,0.1,0,0,0,0,0
190,119.0,0,0.0,0.0,0.0,0.0,0,0.0,2.9,0.0,0.0,0,0.1,0,0,0,0,0
191,119.0,0,0.0,0.0,0.0,0.0,0,0.0,2.9,0.0,0.0,0,0.1,0,0,0,0,0
192,119.0,0,0.0,0.0,0.0,0.0,0,0.0,2.9,0.0,0.0,0,0.1,0,0,0,0,0
193,119.0,0,0.0,0.0,0.0,0.0,0,0.0,2.9,0.0,0.0,0,0.1,0,0,0,0,0
194,119.0,0,0.0,0.0,0.0,0.0,0,0.0,2.9,0.0,0.0,0,0.1,0,0,0,0,0
195,119.0,0,0.0,0.0,0.0,0.0,0,0.0,2.9,0.0,0.0,0,0.1,0,0,0,0,0
196,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0,0.1,0,0,0,0,0
197,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.7,0.0,0.9,0,0.1,0,0,0,0,0
198,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0,0.1,0,0,0,0,0
199,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.7,0.0,0.9,0,0.1,0,0,0,0,0
200,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0,0.1,0,0,0,0,0
201,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.7,0.0,0.9,0,0.1,0,0,0,0,0
202,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0,0.1,0,0,0,0,0
203,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.7,0.0,0.9,0,0.1,0,0,0,0,0
204,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.7,0.0,0.9,0,0.1,0,0,0,0,0
205,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0,0.1,0,0,0,0,0
206,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.7,0.0,0.9,0,0.1,0,0,0,0,0
207,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0,0.1,0,0,0,0,0
208,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.7,0.0,0.9,0,0.1,0,0,0,0,0
209,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.7,0.0,0.9,0,0.1,0,0,0,0,0
210,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0,0.1,0,0,0,0,0
211,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0,0.1,0,0,0,0,0
212,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.7,0.0,0.9,0,0.1,0,0,0,0,0
213,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.7,0.0,0.9,0,0.1,0,0,0,0,0
214,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0,0.1,0,0,0,0,0
215,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.7,0.0,0.9,0,0.1,0,0,0,0,0
216,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.7,0.0,0.9,0,0.1,0,0,0,0,0
217,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.7,0.0,0.9,0,0.1,0,0,0,0,0
218,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.7,0.0,0.9,0,0.1,0,0,0,0,0
219,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.7,0.0,0.9,0,0.1,0,0,0,0,0
220,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.7,0.0,0.9,0,0.1,0,0,0,0,0
221,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.7,0.0,0.9,0,0.1,0,0,0,0,0
222,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.7,0.0,0.9,0,0.1,0,0,0,0,0
223,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.7,0.0,0.9,0,0.1,0,0,0,0,0
224,121.0,0,0.0,0.0,0.0,0.0,0,0.0,3.4,0.0,0.0,0,0.1,0,0,0,0,0
225,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.7,0.0,0.9,0,0.1,0,0,0,0,0
226,121.0,0,0.0,0.0,0.0,0.0,0,0.0,3.4,0.0,0.0,0,0.1,0,0,0,0,0
227,122.0,0,0.0,0.0,0.0,0.0,0,0.0,3.7,0.0,0.9,0,0.1,0,0,0,0,0
